question,answer,subject,difficulty
What is an Operating System?,Software that manages computer hardware and software resources,Operating Systems,Easy
What is a Process?,A program in execution,Operating Systems,Easy
What is a Thread?,The smallest unit of CPU execution,Operating Systems,Medium
What is Process Scheduling?,The method used by the OS to allocate CPU time to processes,Operating Systems,Medium
What is Deadlock?,A situation where processes wait indefinitely for resources,Operating Systems,Hard
What is Virtual Memory?,A memory management technique that extends RAM using disk storage,Operating Systems,Medium
What is Paging?,A memory management scheme that divides memory into fixed-size pages,Operating Systems,Hard
What is Thrashing?,Excessive paging activity that reduces system performance,Operating Systems,Hard
What is DBMS?,Software used to store and manage databases,DBMS,Easy
What is Normalization?,The process of reducing redundancy in databases,DBMS,Medium
What is Denormalization?,The process of adding redundancy for performance optimization,DBMS,Hard
What is a Primary Key?,A unique identifier for records in a table,DBMS,Easy
What is a Foreign Key?,A field that establishes relationships between tables,DBMS,Easy
What is SQL?,Structured Query Language used for database operations,DBMS,Easy
What is a Transaction?,A logical unit of work in a database,DBMS,Medium
What is ACID?,A set of properties ensuring reliable database transactions,DBMS,Hard
What is TCP?,A connection-oriented communication protocol,Computer Networks,Easy
What is UDP?,A connectionless communication protocol,Computer Networks,Medium
What is an IP Address?,A unique address used to identify devices on a network,Computer Networks,Easy
What is DNS?,A system that translates domain names into IP addresses,Computer Networks,Medium
What is HTTP?,A protocol used for transferring web pages,Computer Networks,Easy
What is HTTPS?,A secure version of HTTP using encryption,Computer Networks,Medium
What is Routing?,The process of forwarding packets between networks,Computer Networks,Medium
What is a Firewall?,A security system that monitors network traffic,Computer Networks,Easy
What is a Stack?,A linear data structure that follows LIFO,Data Structures,Easy
What is a Queue?,A linear data structure that follows FIFO,Data Structures,Easy
What is a Linked List?,A collection of nodes connected through pointers,Data Structures,Medium
What is a Tree?,A hierarchical data structure consisting of nodes,Data Structures,Medium
What is a Binary Search Tree?,A tree where left child values are smaller and right child values are larger,Data Structures,Hard
What is a Graph?,A collection of vertices and edges,Data Structures,Medium
What is a Hash Table?,A data structure that stores key-value pairs,Data Structures,Hard
What is Recursion?,A technique where a function calls itself,Data Structures,Medium
